1;Альфа-Банк-002Р-01-боб;02.08.2021;;785;2;7.9;13.42;98.86;+0.75;100.20;8.62;-0.38;;33;4.32 RUB;10000.00 RUB;0.04
2;ВЭБ.РФ-001Р-12-об;21.12.2021;;891;4;9.14;1.75;102.16;+0.49;102.34;8.5;-0.22;;83;574.28 RUB;10000.00 RUB;5.74
3;ГПБ-25-боб;26.12.2020;;593;2;8;21.26;99.21;;101.34;8.67;;;28;2.36 RUB;5000.00 RUB;0.04
4;РСХБ-01Р-боб;25.09.2020;;518;2;9.5;1.04;101.15;;101.25;8.84;-0.00;;92;7.55 RUB;10000.00 RUB;0.07
5;РСХБ-06Р-боб;14.10.2022;;1092;2;9;40.68;101.30;+0.06;105.37;8.75;-0.02;;29;16.57 RUB;13000.00 RUB;0.12
6;Камаз-БО-П02;25.03.2022;;666;4;8.75;0.96;100.02;;100.12;9.03;;;24;342.13 RUB;6000.00 RUB;5.70
7;Трансмашхолдинг-ПБО-02;29.10.2021;;829;2;9.15;37.85;101.16;;104.95;8.82;-0.00;;61;544.65 RUB;5000.00 RUB;10.89
8;Мечел-13-об;25.02.2020;;233;2;11.875;4.55;100.28;-0.32;101.42;11.7;+0.55;;24;0.66 RUB;2000.00 RUB;0.03
9;Газпром Нефть-001P-03R;17.10.2022;;1114;2;7.85;34.84;98.25;+0.27;101.73;8.61;-0.09;;407;51.39 RUB;25000.00 RUB;0.20
10;Роснефть-5-об;17.10.2022;;1112;2;7.9;35.06;97.62;-0.03;101.13;8.88;+0.01;;21;166.25 RUB;10000.00 RUB;1.66
11;Транснефть АК-001Р-09;21.02.2022;;965;2;7.15;7.05;96.90;-0.02;97.61;8.55;+0.01;;26;1.83 RUB;15000.00 RUB;0.01
12;Группа ЛСР-БО-001P-02;20.04.2022;;672;4;9.65;18.24;101.18;+0.21;103.00;9.32;-0.12;;80;22.49 RUB;5000.00 RUB;0.44
13;ПИК ГК-БО-ПО7;25.06.2021;;742;2;8.7;22.64;98.49;+0.17;100.75;9.68;-0.09;;200;37.21 RUB;4000.00 RUB;0.93
14;Эталон ЛенСпецСМУ-1Р-02;09.09.2022;;805;4;8.95;4.41;99.89;;100.33;9.31;;;23;1.25 RUB;5000.00 RUB;0.02
15;Уралкалий-ПБО-03-Р;27.05.2020;;398;2;8.8;30.14;100.35;;103.36;8.64;-0.00;;58;144.69 RUB;15000.00 RUB;0.96
